"","text"
"1","wow loved this place"
"2","crust is not good"
"3","not tasty and the texture was just nasty"
"4","stopped by during the late may bank holiday off rick steve recommendation and loved it"
"5","the selection on the menu was great and so were the prices"
"6","now i am getting angry and i want my damn pho"
"7","honeslty it didnt taste that fresh"
"8","the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer"
"9","the fries were great too"
"10","a great touch"
"11","service was very prompt"
"12","would not go back"
"13","the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced"
"14","i tried the cape cod ravoli chicken with cranberrymmmm"
"15","i was disgusted because i was pretty sure that was human hair"
"16","i was shocked because no signs indicate cash only"
"17","highly recommended"
"18","waitress was a little slow in service"
"19","this place is not worth your time let alone vegas"
"20","did not like at all"
"21","the burrittos blah"
"22","the food amazing"
"23","service is also cute"
"24","i could care less the interior is just beautiful"
"25","so they performed"
"26","thats rightthe red velvet cakeohhh this stuff is so good"
"27"," they never brought a salad we asked for"
"28","this hole in the wall has great mexican street tacos and friendly staff"
"29","took an hour to get our food only  tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed"
"30","the worst was the salmon sashimi"
"31","also there are combos like a burger fries and beer for  which is a decent deal"
"32","this was like the final blow"
"33","i found this place by accident and i could not be happier"
"34","seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere"
"35","overall i like this place a lot"
"36","the only redeeming quality of the restaurant was that it was very inexpensive"
"37","ample portions and good prices"
"38","poor service the waiter made me feel like i was stupid every time he came to the table"
"39","my first visit to hiro was a delight"
"40","service sucks"
"41","the shrimp tender and moist"
"42","there is not a deal good enough that would drag me into that establishment again"
"43","hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick"
"44","on a positive note our server was very attentive and provided great service"
"45","frozen pucks of disgust with some of the worst people behind the register"
"46","the only thing i did like was the prime rib and dessert section"
"47","its too bad the food is so damn generic"
"48","the burger is good beef cooked just right"
"49","if you want a sandwich just go to any firehouse"
"50","my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing"
"51","we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside"
"52","he came running after us when he realized my husband had left his sunglasses on the table"
"53","their chow mein is so good"
"54","they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food"
"55","the portion was huge"
"56","loved itfriendly servers great food wonderful and imaginative menu"
"57","the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant"
"58","not much seafood and like  strings of pasta at the bottom"
"59","the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked"
"60","the ripped banana was not only ripped but petrified and tasteless"
"61","at least think to refill my water before i struggle to wave you over for  minutes"
"62","this place receives stars for their appetizers"
"63","the cocktails are all handmade and delicious"
"64","wed definitely go back here again"
"65","we are so glad we found this place"
"66","great food and service huge portions and they give a military discount"
"67","always a great time at dos gringos"
"68","updatewent back for a second time and it was still just as amazing"
"69","we got the food and apparently they have never heard of salt and the batter on the fish was chewy"
"70","a great way to finish a great"
"71","the deal included  tastings and  drinks and jeff went above and beyond what we expected"
"72"," really really good rice all the time"
"73","the service was meh"
"74","it took over  min to get their milkshake which was nothing more than chocolate milk"
"75","i guess i should have known that this place would suck because it is inside of the excalibur but i didnt use my common sense"
"76","the scallop dish is quite appalling for value as well"
"77"," times  very bad customer service "
"78","the sweet potato fries were very good and seasoned well"
"79","today is the second time ive been to their lunch buffet and it was pretty good"
"80","there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company"
"81","coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up"
"82","walked in and the place smelled like an old grease trap and only  others there eating"
"83","the turkey and roast beef were bland"
"84","this place has it"
"85","the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old"
"86","i love the pho and the spring rolls oh so yummy you have to try"
"87","the poor batter to meat ratio made the chicken tenders very unsatisfying"
"88","all i have to say is the food was amazing"
"89","omelets are to die for"
"90","everything was fresh and delicious"
"91","in summary this was a largely disappointing dining experience"
"92","its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party"
"93","never been to hard rock casino before will never ever step forward in it again"
"94","best breakfast buffet"
"95","say bye bye to your tip lady"
"96","well never go again"
"97","will be back again"
"98","food arrived quickly"
"99","it was not good"
"100","on the up side their cafe serves really good food"
"101","our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go"
"102","the only good thing was our waiter he was very helpful and kept the bloddy marys coming"
"103","best buffet in town for the price you cannot beat it"
"104","i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious"
"105","this is one of the better buffets that i have been to"
"106","so we went to tigerlilly and had a fantastic afternoon"
